model,domain,skill,test_rows,raw_prediction_items,predicted_items,gold_items,filtered_items,duplicate_items_removed,unsupported_items,unsupported_item_rate,exact_macro_precision,exact_macro_recall,exact_macro_f1,exact_micro_precision,exact_micro_recall,exact_micro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,containment_micro_precision,containment_micro_recall,containment_micro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,lexical_micro_precision,lexical_micro_recall,lexical_micro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,semantic_micro_precision,semantic_micro_recall,semantic_micro_f1
BERT task-unadapted,it,nice_to_have,83,6797,5052,447,1737,6,0,0.0,0.014878497301900002,0.13171675080362463,0.025477105325548276,0.01405384006334125,0.15883668903803133,0.02582287688670667,0.039081255820513534,0.40620577548288395,0.06738508552524565,0.03602533650039588,0.407158836689038,0.06619385342789598,0.03932221967593523,0.4079269458787531,0.0678078291312486,0.03622327790973872,0.40939597315436244,0.06655755591925805,0.039513460831031806,0.41997513864983743,0.06818433515534499,0.03642121931908155,0.4116331096196868,0.06692125841062012
BERT task-unadapted,it,soft_skills,153,11802,8680,1169,3109,11,0,0.0,0.015276831453225082,0.11000560478797591,0.02618872018121519,0.016129032258064516,0.11976047904191617,0.028429282160625447,0.07741003287654817,0.5775273298326172,0.13219380088471713,0.0771889400921659,0.5731394354148845,0.13605442176870747,0.07783926038393088,0.5795220671214721,0.13289329955872842,0.07753456221198157,0.5757057313943541,0.13666362067214946,0.0779430055857153,0.5798333027268254,0.13304891736140503,0.07764976958525345,0.5765611633875107,0.13686668697329676
BERT task-unadapted,journal,all_skills,161,13472,10136,3598,3320,14,0,0.0,0.033875274413140206,0.08217898026824451,0.04644321605345911,0.033543804262036306,0.09449694274596998,0.049512159603902726,0.1974732545686616,0.5497557059808375,0.28116836467615847,0.19790844514601422,0.5575319622012229,0.29212174166302607,0.19790662652765675,0.5507102813593759,0.2817565524156734,0.1984017363851618,0.5589216231239578,0.2928498616572011,0.19966526941610738,0.5554038752289434,0.28428563369325377,0.20017758484609313,0.5639244024458032,0.29547109363623125
BERT task-unadapted,journal,distinct_skills,98,8368,6385,266,1973,8,0,0.0,0.008082014906780191,0.07115322319403952,0.012013130877721791,0.0040720438527799534,0.09774436090225563,0.00781837317696587,0.031221116624434928,0.641362973760933,0.0552580904446332,0.02678151918559123,0.6428571428571429,0.05142083897158322,0.03130686520958327,0.6428206997084548,0.055420059994357854,0.026938136256851996,0.6466165413533834,0.051721545632235744,0.03180302526656601,0.6564261418853254,0.05636552414101498,0.027564604541895067,0.6616541353383458,0.052924372274845886
BERT task-unadapted,journal,hard_skills,161,13321,10017,2399,3285,16,0,0.0,0.013244103589906428,0.048412442485598256,0.020292245443334543,0.015673355295996807,0.06544393497290538,0.025289948453608248,0.138405892312317,0.5826378779635056,0.21637733254838734,0.14205850054906657,0.5931638182576073,0.22922036082474226,0.1388002439498124,0.5842986292205302,0.2169894723225983,0.14245782170310473,0.5948311796581909,0.22986469072164947,0.1402460750769136,0.5910567874553937,0.21929857279101875,0.14395527603074773,0.6010837849103793,0.23228092783505153
BERT task-unadapted,journal,must_have,161,13306,10029,3281,3266,7,0,0.0,0.03164062812922663,0.08409104017090308,0.044133318531469956,0.031209492471831687,0.095397744590064,0.047032306536438764,0.1827394762561985,0.5515116743965853,0.2654989338366275,0.18616013560674044,0.5690338311490399,0.28054094665664914,0.1834577649867429,0.553154199635755,0.2664868271674064,0.18695782231528568,0.5714721121609265,0.28174305033809166,0.18529541644914,0.5585240025468345,0.2691713315756753,0.18885232824808057,0.5772630295641573,0.28459804658151766
BERT task-unadapted,journal,nice_to_have,88,7339,5515,216,1817,5,0,0.0,0.004075797400228571,0.07404401154401154,0.007607607086415815,0.003989120580235721,0.10185185185185185,0.007677543186180423,0.02141560744498,0.49193722943722945,0.040030855572605356,0.020308250226654577,0.5185185185185185,0.03908567440237305,0.02141560744498,0.49193722943722945,0.040030855572605356,0.020308250226654577,0.5185185185185185,0.03908567440237305,0.02151706848394104,0.49319985569985564,0.040218684272830756,0.020489573889392567,0.5231481481481481,0.03943465363810854
BERT task-unadapted,journal,soft_skills,142,12155,9188,892,2958,6,0,0.0,0.02139371845632985,0.18488161762291835,0.03684630133531922,0.019481932956029603,0.2006726457399103,0.03551587301587302,0.054053988785325524,0.5335626193745497,0.09329451307666363,0.05082716586852416,0.523542600896861,0.09265873015873015,0.054053988785325524,0.5335626193745497,0.09329451307666363,0.05082716586852416,0.523542600896861,0.09265873015873015,0.05434792632359864,0.5364968916750193,0.09382771227183467,0.051044841097083155,0.5257847533632287,0.09305555555555556
BERT task-unadapted,merged,all_skills,318,25294,18752,6893,6518,21,0,0.0,0.04325412806193098,0.10620180465504678,0.058880072444478244,0.04191552901023891,0.11402872479326853,0.06129849873269643,0.19381023673137315,0.5158866881347907,0.27014314881642654,0.19256612627986347,0.523864790367039,0.28161434977578476,0.19432401409604072,0.5172010665946348,0.2708730111772109,0.19304607508532423,0.525170462788336,0.2823162409826477,0.196039177168114,0.521128736023044,0.27316283790720003,0.19464590443686006,0.5295227041926592,0.28465587833885747
BERT task-unadapted,merged,distinct_skills,140,11606,8752,355,2835,17,0,0.0,0.006620032884940378,0.06075113378684807,0.009906245037943297,0.003656307129798903,0.09014084507042254,0.007027561216646535,0.025854897521658395,0.5556292517006801,0.04595060053511072,0.02170932358318099,0.5352112676056338,0.04172614472383881,0.025914921531262236,0.5566496598639455,0.04606397921991797,0.0218235831809872,0.5380281690140845,0.04194575601185901,0.026270515144649124,0.5654591836734694,0.04671950530675534,0.022280621572212066,0.5492957746478874,0.042824201163939826
BERT task-unadapted,merged,hard_skills,317,25155,18741,4463,6395,15,0,0.0,0.02486326151349171,0.09594978612943444,0.03753686860899057,0.024278320260391655,0.10194936141608783,0.039217376314428544,0.12165238252054507,0.4977570773927685,0.18727249513267716,0.1229923696707753,0.5164687429979834,0.19867264264781934,0.12191575985062947,0.49905120387616936,0.18769407943219202,0.12325916439891148,0.5175890656509075,0.19910360282709877,0.12292377604029289,0.502952911639275,0.1892167156165582,0.1243797022570834,0.5222944207931884,0.2009136355800724
BERT task-unadapted,merged,must_have,303,24537,18366,4422,6137,27,0,0.0,0.031034680242226616,0.1267261933419039,0.045186010137861506,0.028367635848851137,0.11781999095431932,0.04572582060733719,0.13265029654857366,0.5427756629651759,0.19854276981481622,0.13339867145812914,0.5540479421076436,0.21502545199227663,0.13299493499223475,0.5437907293432852,0.19904556675855586,0.13383425895676795,0.555857078245138,0.2157275759171494,0.13433411992146368,0.5519008009508279,0.20109087926454222,0.1351410214526843,0.561284486657621,0.21783394769176762
BERT task-unadapted,merged,nice_to_have,172,14146,10617,664,3513,12,0,0.0,0.01043941305925884,0.1198500126284704,0.018433295140291395,0.009889799378355468,0.15813253012048192,0.018615370977750203,0.03117108996949452,0.4645783327239876,0.055634444054753374,0.029292643873033812,0.4683734939759036,0.055136955943622015,0.031287369039261964,0.4654088975080407,0.055838442422766435,0.02938683243854196,0.46987951807228917,0.05531424519102916,0.031431564314271195,0.4718688458284541,0.05611622687404454,0.029575209569558256,0.47289156626506024,0.05566882368584345
BERT task-unadapted,merged,soft_skills,294,23871,17798,2064,6056,12,0,0.0,0.01936875148204115,0.1560066647196236,0.03306744442410006,0.018148106528823465,0.1564922480620155,0.0325244184875642,0.0678483027253857,0.5571625306682487,0.11597582799170869,0.06422069895493876,0.5537790697674418,0.115094149632464,0.06810824999341833,0.5599012885090474,0.116411460402262,0.06444544330823689,0.5557170542635659,0.1154969288087806,0.06832219571756815,0.561310423591652,0.11677589188914246,0.06461400157321047,0.5571705426356589,0.11579901319101801
