domain,skill,split,feature,n,mean,median,minimum,maximum
merged,all_skills,test,soft_skills_items,318,6.386792452830188,5.0,0.0,30.0
merged,all_skills,test,is_journal,318,0.5251572327044025,1.0,0.0,1.0
merged,hard_skills,all,input_words,634,426.89274447949526,426.0,25.0,947.0
merged,hard_skills,all,target_items,634,14.31230283911672,12.0,1.0,63.0
merged,hard_skills,all,target_words,634,57.74132492113565,46.0,1.0,248.0
merged,hard_skills,all,is_journal,634,0.5063091482649842,1.0,0.0,1.0
merged,hard_skills,train,input_words,254,426.1929133858268,427.0,26.0,947.0
merged,hard_skills,train,target_items,254,14.28740157480315,12.0,1.0,52.0
merged,hard_skills,train,target_words,254,57.65748031496063,46.0,1.0,238.0
merged,hard_skills,train,is_journal,254,0.5039370078740157,1.0,0.0,1.0
merged,hard_skills,validation,input_words,63,429.6825396825397,426.0,137.0,775.0
merged,hard_skills,validation,target_items,63,14.412698412698413,12.0,1.0,45.0
merged,hard_skills,validation,target_words,63,58.095238095238095,46.0,2.0,178.0
merged,hard_skills,validation,is_journal,63,0.5079365079365079,1.0,0.0,1.0
merged,hard_skills,test,input_words,317,426.8990536277602,422.0,25.0,945.0
merged,hard_skills,test,target_items,317,14.31230283911672,12.0,1.0,63.0
merged,hard_skills,test,target_words,317,57.738170347003155,46.0,1.0,248.0
merged,hard_skills,test,is_journal,317,0.5078864353312302,1.0,0.0,1.0
merged,soft_skills,all,input_words,589,437.5704584040747,442.0,44.0,947.0
merged,soft_skills,all,target_items,589,7.076400679117148,6.0,1.0,30.0
merged,soft_skills,all,target_words,589,25.30899830220713,21.0,1.0,145.0
merged,soft_skills,all,is_journal,589,0.48047538200339557,0.0,0.0,1.0
merged,soft_skills,train,input_words,236,436.85169491525426,443.0,89.0,881.0
merged,soft_skills,train,target_items,236,7.063559322033898,6.0,1.0,21.0
merged,soft_skills,train,target_words,236,25.271186440677965,20.5,1.0,95.0
merged,soft_skills,train,is_journal,236,0.4830508474576271,0.0,0.0,1.0
merged,soft_skills,validation,input_words,59,436.76271186440675,449.0,104.0,744.0
merged,soft_skills,validation,target_items,59,7.067796610169491,6.0,1.0,22.0
merged,soft_skills,validation,target_words,59,25.25423728813559,20.0,1.0,80.0
merged,soft_skills,validation,is_journal,59,0.4745762711864407,0.0,0.0,1.0
merged,soft_skills,test,input_words,294,438.3095238095238,437.0,44.0,947.0
merged,soft_skills,test,target_items,294,7.08843537414966,6.0,1.0,30.0
merged,soft_skills,test,target_words,294,25.35034013605442,21.0,1.0,145.0
merged,soft_skills,test,is_journal,294,0.47959183673469385,0.0,0.0,1.0
merged,distinct_skills,all,input_words,280,437.7214285714286,436.0,44.0,945.0
merged,distinct_skills,all,target_items,280,2.5464285714285713,2.0,1.0,15.0
merged,distinct_skills,all,target_words,280,12.42142857142857,7.0,1.0,99.0
merged,distinct_skills,all,is_journal,280,0.7035714285714286,1.0,0.0,1.0
merged,distinct_skills,train,input_words,112,437.73214285714283,430.5,92.0,832.0
merged,distinct_skills,train,target_items,112,2.544642857142857,2.0,1.0,11.0
merged,distinct_skills,train,target_words,112,12.428571428571429,7.0,1.0,99.0
merged,distinct_skills,train,is_journal,112,0.6964285714285714,1.0,0.0,1.0
merged,distinct_skills,validation,input_words,28,437.67857142857144,436.0,100.0,841.0
merged,distinct_skills,validation,target_items,28,2.5357142857142856,1.0,1.0,13.0
merged,distinct_skills,validation,target_words,28,12.392857142857142,8.5,1.0,46.0
merged,distinct_skills,validation,is_journal,28,0.7142857142857143,1.0,0.0,1.0
merged,distinct_skills,test,input_words,140,437.7214285714286,440.0,44.0,945.0
merged,distinct_skills,test,target_items,140,2.55,2.0,1.0,15.0
merged,distinct_skills,test,target_words,140,12.42142857142857,7.0,1.0,52.0
